0; -1,50849; 100; 0; 
-0,0150822; -1,50793; 99,9995; -0,0956429; 
-0,0301581; -1,50721; 99,9981; -0,191283; 
-0,045226; -1,50634; 99,9957; -0,286917; 
-0,0602844; -1,50531; 99,9923; -0,38254; 
-0,0753317; -1,50413; 99,988; -0,47815; 
-0,0903665; -1,50279; 99,9828; -0,573742; 
-0,105387; -1,5013; 99,9766; -0,669313; 
-0,120392; -1,49966; 99,9694; -0,76486; 
-0,13538; -1,49785; 99,9613; -0,860379; 
-0,150349; -1,4959; 99,9522; -0,955865; 
-0,165297; -1,49379; 99,9422; -1,05132; 
-0,180224; -1,49153; 99,9312; -1,14673; 
-0,195127; -1,48911; 99,9192; -1,2421; 
-0,210006; -1,48654; 99,9063; -1,33742; 
-0,224857; -1,48381; 99,8925; -1,43269; 
-0,239681; -1,48093; 99,8777; -1,52791; 
-0,254476; -1,4779; 99,8619; -1,62308; 
-0,269239; -1,47472; 99,8452; -1,71818; 
-0,283969; -1,47138; 99,8276; -1,81322; 
-0,298666; -1,46789; 99,8089; -1,90819; 
-0,313327; -1,46425; 99,7894; -2,00308; 
-0,32795; -1,46045; 99,7689; -2,09791; 
-0,342535; -1,45651; 99,7474; -2,19265; 
-0,35708; -1,45241; 99,725; -2,28732; 
-0,371583; -1,44816; 99,7017; -2,3819; 
-0,386043; -1,44376; 99,6774; -2,47639; 
-0,400458; -1,43921; 99,6522; -2,57079; 
-0,414826; -1,43451; 99,626; -2,66509; 
-0,429147; -1,42965; 99,5989; -2,75929; 
-0,443419; -1,42465; 99,5708; -2,85339; 
-0,45764; -1,41949; 99,5418; -2,94739; 
-0,471808; -1,41419; 99,5118; -3,04127; 
-0,485923; -1,40874; 99,481; -3,13505; 
-0,499983; -1,40313; 99,4491; -3,2287; 
-0,513985; -1,39738; 99,4164; -3,32224; 
-0,52793; -1,39148; 99,3827; -3,41566; 
-0,541814; -1,38543; 99,3481; -3,50895; 
-0,555638; -1,37924; 99,3125; -3,60211; 
-0,569399; -1,37289; 99,276; -3,69514; 
-0,583095; -1,3664; 99,2386; -3,78803; 
-0,596726; -1,35976; 99,2003; -3,88078; 
-0,61029; -1,35297; 99,161; -3,97339; 
-0,623785; -1,34604; 99,1208; -4,06586; 
-0,63721; -1,33896; 99,0797; -4,15818; 
-0,650564; -1,33173; 99,0376; -4,25034; 
-0,663844; -1,32436; 98,9947; -4,34236; 
-0,67705; -1,31684; 98,9508; -4,43421; 
-0,690181; -1,30918; 98,906; -4,5259; 
-0,703233; -1,30137; 98,8603; -4,61743; 
-0,716208; -1,29342; 98,8136; -4,7088; 
-0,729101; -1,28532; 98,7661; -4,79999; 
-0,741913; -1,27708; 98,7177; -4,89101; 
-0,754642; -1,26869; 98,6683; -4,98186; 
-0,767287; -1,26017; 98,618; -5,07252; 
-0,779845; -1,2515; 98,5668; -5,16301; 
-0,792316; -1,24268; 98,5148; -5,25331; 
-0,804698; -1,23373; 98,4618; -5,34343; 
