-8.6;6.7;0.993649;3.00635;8.06649e-05;1;66;0.998829;3.00119;2.79249e-06;1;25;0.982531;3.00673;0.000811582;1;123;123
-6.6;6.4;0.994164;3.00584;6.81211e-05;1;65;0.998561;3.00137;3.9653e-06;1;24;0.983021;3.0076;0.00069819;1;119;119
-5.7;5;0.993668;3.00633;8.01825e-05;1;62;0.998814;3.00112;2.68184e-06;1;24;0.982541;3.00521;0.000931942;1;116;116
-1.3;-9.2;1.00584;2.99416;6.81211e-05;1;64;1.00103;2.99897;2.1341e-06;1;25;0.996591;2.98192;0.00218613;1;127;127
-2.4;7.8;0.994032;3.00597;7.1231e-05;1;62;0.998636;3.00146;4.02005e-06;1;23;0.989123;3.01536;0.000434373;1;112;112
8.8;8.4;1.00618;2.99382;7.64968e-05;1;50;1.00124;2.99871;3.21539e-06;1;21;1.01494;3.01034;0.00288744;1;122;122
-9.7;-4.9;0.994156;3.00584;6.83136e-05;1;52;0.998548;3.00151;4.41191e-06;1;21;0.984934;2.98888;0.00309438;1;128;128
5.4;9.9;0.994202;3.0058;6.72335e-05;1;51;0.998659;3.00128;3.45346e-06;1;21;1.00983;3.01542;0.00288365;1;119;119
3.2;-4;1.00603;2.99397;7.26276e-05;1;63;1.00118;2.99875;2.97422e-06;1;24;1.00545;2.98267;0.000894698;1;117;117
-2.4;6.8;0.994178;3.00582;6.77987e-05;1;61;0.99846;3.00162;5.00815e-06;1;22;0.987948;3.01347;0.000334755;1;110;110
3.9;-8.8;1.00632;2.99368;7.9818e-05;1;67;1.00136;2.99866;3.63677e-06;1;25;1.00452;2.98159;0.00113064;1;126;126
-7.4;8.6;0.993983;3.00602;7.23973e-05;1;67;0.998875;3.00115;2.60176e-06;1;25;0.984714;3.01019;0.000441339;1;123;123
-0.6;3.9;0.994202;3.0058;6.72335e-05;1;51;0.998612;3.00148;4.14483e-06;1;20;0.984179;3.0089;0.000521166;1;90;90
9.5;7;1.00616;2.99384;7.5955e-05;1;56;1.00112;2.99894;2.38681e-06;1;23;1.01714;3.00807;0.00289971;1;121;121
-6.6;7.8;0.994079;3.00592;7.01172e-05;1;66;0.998987;3.00104;2.10779e-06;1;25;0.984676;3.00968;0.000455985;1;121;121
-3.3;-9.9;1.00626;2.99374;7.83498e-05;1;62;1.00134;2.99859;3.80461e-06;1;24;0.994248;2.98274;0.00244827;1;129;129
-0.3;0.2;1.00589;2.99411;6.94166e-05;1;46;1.00116;2.9989;2.57247e-06;1;20;0.992303;2.98342;0.00269099;1;100;100
1.7;-0.8;1.00616;2.99384;7.5955e-05;1;56;1.00131;2.9987;3.39142e-06;1;22;1.00338;2.98168;0.0012411;1;104;104
-4.8;5.6;0.993887;3.00611;7.4748e-05;1;62;0.998356;3.00154;5.12431e-06;1;23;0.983254;3.00751;0.000678255;1;114;114
0.1;-2;1.00624;2.99376;7.7842e-05;1;55;1.00134;2.99868;3.52943e-06;1;22;0.996642;2.98134;0.00229806;1;109;109
-1.4;-5.9;1.00584;2.99416;6.82178e-05;1;60;1.00147;2.99845;4.57676e-06;1;23;0.995161;2.98205;0.00242193;1;121;121
-3.5;-1.1;0.993819;3.00618;7.64004e-05;1;33;0.998607;3.00147;4.14359e-06;1;16;0.986323;2.98754;0.00307502;1;113;113
-5.6;-8.1;1.00616;2.99384;7.5955e-05;1;56;1.00108;2.99887;2.46085e-06;1;23;0.990707;2.98437;0.0028152;1;128;128
-6;2.9;0.9938;3.0062;7.68722e-05;1;60;0.998484;3.00144;4.39964e-06;1;23;0.98176;2.99974;0.00170194;1;116;116
-6.9;1.7;0.99407;3.00593;7.0333e-05;1;60;0.998478;3.00145;4.43689e-06;1;23;0.981421;2.99694;0.00222694;1;118;118
-0.3;7.1;0.99401;3.00599;7.1761e-05;1;58;0.998974;3.00109;2.25427e-06;1;23;0.994342;3.01784;0.000944401;1;106;106
-1.9;-2.5;1.00603;2.99397;7.27198e-05;1;51;1.00138;2.99869;3.64794e-06;1;21;0.991186;2.98328;0.00296418;1;113;113
0.9;2.7;1.00581;2.99419;6.76278e-05;1;27;1.00144;2.9986;4.016e-06;1;14;0.994046;2.98214;0.00262318;1;55;55
6.7;-4.4;1.00626;2.99374;7.82571e-05;1;66;1.00101;2.99902;2.00221e-06;1;25;1.01149;2.98508;0.000401711;1;121;121
-0.3;5.3;0.993913;3.00609;7.40911e-05;1;54;0.998566;3.00135;3.90101e-06;1;21;0.991023;3.01588;0.000523578;1;97;97
8.6;6.5;1.00624;2.99376;7.7842e-05;1;55;1.00142;2.99857;4.05535e-06;1;22;1.01698;3.00782;0.00280938;1;119;119
0.6;-1.7;1.00589;2.99411;6.93534e-05;1;56;1.00136;2.99866;3.65214e-06;1;22;0.998429;2.98154;0.00194835;1;108;108
-8.1;-7.6;1.00589;2.99411;6.94166e-05;1;46;1.00118;2.99884;2.73225e-06;1;20;0.987827;2.98582;0.00312691;1;129;129
2.8;-2.9;1.00623;2.99377;7.75421e-05;1;61;1.00147;2.99844;4.60931e-06;1;23;1.00547;2.98207;0.000972572;1;113;113
3.2;-7.1;1.00587;2.99413;6.89908e-05;1;66;1.00114;2.99887;2.58048e-06;1;25;1.004;2.98162;0.00118047;1;123;123
0.3;-8.1;1.00613;2.99387;7.51758e-05;1;64;1.00104;2.99896;2.17178e-06;1;25;0.99885;2.98177;0.00183583;1;125;125
-3;6.8;0.993692;3.00631;7.95693e-05;1;61;0.998858;3.00111;2.53884e-06;1;23;0.98653;3.0128;0.000347026;1;111;111
0.8;1.5;1.0063;2.9937;7.9469e-05;1;44;1.00127;2.99869;3.35554e-06;1;19;0.997572;2.98179;0.00204131;1;86;86
4;4.9;1.00593;2.99407;7.02443e-05;1;43;1.00123;2.99878;2.99678e-06;1;19;1.01603;3.01015;0.00310202;1;102;102
